Date,FTSE_Return,SP500_Return
2020-01-01,-0.023167187680296353,0.016068997182396627
2020-02-01,-0.10210685769303662,-0.07604870215650661
2020-03-01,-0.16668927915447895,-0.12183351864738623
2020-04-01,0.05976561822920634,0.136492628566121
2020-05-01,-0.003146905369607489,0.023167765683703045
2020-06-01,0.0036979348226096054,0.014241393004287284
2020-07-01,-0.02933442194271374,-0.0015697884478275137
2020-08-01,0.022569963693449102,0.06362078911849611
2020-09-01,-0.03302001173348934,-0.018934617195153436
2020-10-01,-0.036648928085886934,-0.02576053210573448
2020-11-01,0.13141066828906234,0.08334770324802143
2020-12-01,0.03215953863210763,0.013822331790456666
2021-01-01,0.009171783613246998,0.0009154128122519367
2021-02-01,0.03129565393668887,0.02884614436209021
2021-03-01,0.06403523559783975,0.079048693446778
2021-04-01,0.021121500100659718,0.022244026092045788
2021-05-01,0.020756413351504355,-0.0028372184789274835
2021-06-01,0.006449231024923119,0.05064263817635961
2021-07-01,0.008473292925617715,0.023151694021908087
2021-08-01,0.01179505659852187,0.035368720640788665
2021-09-01,-0.0037085680690088774,-0.02551101622645713
2021-10-01,0.04099804013925512,0.06399660439071186
2021-11-01,-0.02958734367982896,0.01771661785605283
2021-12-01,0.06180595701656055,0.048229633039097
2022-01-01,0.021847963890672117,-0.037296927250999534
2022-02-01,-0.0016561782498798472,-0.03366683651129432
2022-03-01,0.0015810371919000588,0.04628582738882692
2022-04-01,0.01578247114129172,-0.038617196012639465
2022-05-01,-0.0033310504979445765,-0.014344182134475525
2022-06-01,-0.06287668599240659,-0.05374895178916017
2022-07-01,0.059262215400344154,0.11244634832861666
2022-08-01,-0.034098444519019444,-0.021788827163746194
2022-09-01,-0.07597253142491345,-0.0686289624161448
2022-10-01,0.05604395107552396,0.06286167300141643
2022-11-01,0.06657007620181532,0.008870606952820381
2022-12-01,-0.0393712336981662,-0.08323736066645404
2023-01-01,0.05081651687091493,0.04644977683032869
2023-02-01,0.02186814685445615,-0.004738945932728833
2023-03-01,-0.027255336047653178,0.01230981613370341
2023-04-01,0.03256904343558609,0.0058052043968706
2023-05-01,-0.031211366571195387,0.03236286774187014
2023-06-01,0.02074269016249053,0.04812120984491064
2023-07-01,0.024246046843150015,0.017424045192806936
2023-08-01,-0.024467132560240912,-0.0018861311334084085
2023-09-01,0.015258569735853156,-0.023047631194323515
2023-10-01,-0.04693073525898883,-0.023331637714494535
2023-11-01,0.03468057854128226,0.0601764991621323
2023-12-01,0.032113765875338984,0.03417213604027669
2024-01-01,0.0042736016688544876,0.03678927975651547
2024-02-01,0.0019317662908253652,0.05446616586188435
2024-03-01,0.050237462656683496,0.03360681094165696
2024-04-01,0.027575859045935847,-0.032522469642737195
2024-05-01,0.0220571857228693,0.036624947247737794
2024-06-01,-0.002102365870397138,0.050106379876301954
2024-07-01,0.028437442125695656,0.0006748067283397496
2024-08-01,0.011757800216622982,0.0003290353933849133
2024-09-01,-0.008600701438690517,0.011413457183385933
2024-10-01,-0.01694462241358574,0.01952533110998189
2024-11-01,0.03279467166358052,0.09077635858488975
2024-12-01,-0.00945722670730198,-0.007582856247253744
2025-01-01,0.053217568127015946,0.027451760102340517
2025-02-01,0.032271039349642816,-0.014754007767671773
2025-03-01,-0.0312703616870027,-0.09159505111186705
2025-04-01,-0.02580692121603778,-0.055512288218652506
2025-05-01,0.05125224343937629,0.0661324563725132
2025-06-01,-0.01630591280531546,0.016690761940064025
2025-07-01,0.03181162476721533,0.046918420555858154
